Medio empleado;Sexo;Edad;Total
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;Todas las edades;36,97
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;Menores de 15 años;0,00
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 15 a 19 años;0,54
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 20 a 24 años;0,27
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 25 a 29 años;0,82
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 30 a 34 años;1,09
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 35 a 39 años;2,72
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 40 a 44 años;5,44
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 45 a 49 años;7,61
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 50 a 54 años;5,16
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 55 a 59 años;3,81
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 60 a 64 años;2,72
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 65 a 69 años;2,99
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 70 a 74 años;1,09
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 75 a 79 años;0,82
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 80 a 84 años;1,09
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 85 a 89 años;0,82
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 90 a 94 años;0,00
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Hombres;De 95 años y más;0,00
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;Todas las edades;32,35
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;Menores de 15 años;0,00
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 15 a 19 años;0,00
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 20 a 24 años;1,36
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 25 a 29 años;1,36
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 30 a 34 años;0,54
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 35 a 39 años;2,72
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 40 a 44 años;3,26
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 45 a 49 años;2,99
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 50 a 54 años;3,26
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 55 a 59 años;5,71
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 60 a 64 años;4,89
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 65 a 69 años;0,54
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 70 a 74 años;1,90
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 75 a 79 años;1,36
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 80 a 84 años;1,36
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 85 a 89 años;0,82
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 90 a 94 años;0,27
X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados;Mujeres;De 95 años y más;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;Todas las edades;0,27
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;Menores de 15 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 15 a 19 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 20 a 24 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 25 a 29 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 30 a 34 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 35 a 39 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 40 a 44 años;0,27
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 45 a 49 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 50 a 54 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 55 a 59 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 60 a 64 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 65 a 69 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 70 a 74 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 75 a 79 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 80 a 84 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 85 a 89 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 90 a 94 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Ambos sexos;De 95 años y más;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;Todas las edades;0,27
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;Menores de 15 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 15 a 19 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 20 a 24 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 25 a 29 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 30 a 34 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 35 a 39 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 40 a 44 años;0,27
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 45 a 49 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 50 a 54 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 55 a 59 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 60 a 64 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 65 a 69 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 70 a 74 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 75 a 79 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 80 a 84 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 85 a 89 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 90 a 94 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Hombres;De 95 años y más;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;Todas las edades;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;Menores de 15 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 15 a 19 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 20 a 24 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 25 a 29 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 30 a 34 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 35 a 39 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 40 a 44 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 45 a 49 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 50 a 54 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 55 a 59 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 60 a 64 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 65 a 69 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 70 a 74 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 75 a 79 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 80 a 84 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 85 a 89 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 90 a 94 años;0,00
X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol;Mujeres;De 95 años y más;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;Todas las edades;0,27
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;Menores de 15 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 15 a 19 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 20 a 24 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 25 a 29 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 30 a 34 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 35 a 39 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 40 a 44 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 45 a 49 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 50 a 54 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 55 a 59 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 60 a 64 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 65 a 69 años;0,27
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 70 a 74 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 75 a 79 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 80 a 84 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 85 a 89 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 90 a 94 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Ambos sexos;De 95 años y más;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;Todas las edades;0,27
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;Menores de 15 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 15 a 19 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 20 a 24 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 25 a 29 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 30 a 34 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 35 a 39 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 40 a 44 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 45 a 49 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 50 a 54 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 55 a 59 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 60 a 64 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 65 a 69 años;0,27
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 70 a 74 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 75 a 79 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 80 a 84 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 85 a 89 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 90 a 94 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Hombres;De 95 años y más;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;Todas las edades;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;Menores de 15 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 15 a 19 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 20 a 24 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 25 a 29 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 30 a 34 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 35 a 39 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 40 a 44 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 45 a 49 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 50 a 54 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 55 a 59 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 60 a 64 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 65 a 69 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 70 a 74 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 75 a 79 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 80 a 84 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 85 a 89 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 90 a 94 años;0,00
X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores;Mujeres;De 95 años y más;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;Todas las edades;13,59
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;Menores de 15 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 15 a 19 años;0,27
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 20 a 24 años;0,27
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 25 a 29 años;0,54
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 30 a 34 años;0,82
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 35 a 39 años;1,36
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 40 a 44 años;1,90
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 45 a 49 años;1,09
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 50 a 54 años;2,45
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 55 a 59 años;1,63
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 60 a 64 años;1,36
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 65 a 69 años;0,82
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 70 a 74 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 75 a 79 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 80 a 84 años;0,82
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 85 a 89 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 90 a 94 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Ambos sexos;De 95 años y más;0,27
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;Todas las edades;12,23
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;Menores de 15 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 15 a 19 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 20 a 24 años;0,27
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 25 a 29 años;0,54
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 30 a 34 años;0,82
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 35 a 39 años;1,36
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 40 a 44 años;1,36
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 45 a 49 años;1,09
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 50 a 54 años;2,45
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 55 a 59 años;1,09
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 60 a 64 años;1,36
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 65 a 69 años;0,82
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 70 a 74 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 75 a 79 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 80 a 84 años;0,82
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 85 a 89 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 90 a 94 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Hombres;De 95 años y más;0,27
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;Todas las edades;1,36
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;Menores de 15 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 15 a 19 años;0,27
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 20 a 24 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 25 a 29 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 30 a 34 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 35 a 39 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 40 a 44 años;0,54
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 45 a 49 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 50 a 54 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 55 a 59 años;0,54
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 60 a 64 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 65 a 69 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 70 a 74 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 75 a 79 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 80 a 84 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 85 a 89 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 90 a 94 años;0,00
X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores;Mujeres;De 95 años y más;0,00
X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas;Ambos sexos;Todas las edades;3,53
X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas;Ambos sexos;Menores de 15 años;0,00
X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas;Ambos sexos;De 15 a 19 años;0,00
X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas;Ambos sexos;De 20 a 24 años;0,00
X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas;Ambos sexos;De 25 a 29 años;0,27
